R_fighter,B_fighter,TOTAL_KD,TOTAL_SIG_STR_LAND,TOTAL_SIG_STR_ATT,TOTAL_SIG_STR_ACC,TOTAL_TD_LAND,TOTAL_TD_ATT,TOTAL_TD_ACC,TOTAL_SUB_ATT,TOTAL_HEAD_STR_LAND,TOTAL_HEAD_STR_ATT,TOTAL_HEAD_STR_ACC,TOTAL_BODY_STR_LAND,TOTAL_BODY_STR_ATT,TOTAL_BODY_STR_ACC,TOTAL_LEG_STR_LAND,TOTAL_LEG_STR_ATT,TOTAL_LEG_STR_ACC,TOTAL_DISTANCE_STR_LAND,TOTAL_DISTANCE_STR_ATT,TOTAL_DISTANCE_STR_ACC,TOTAL_CLINCH_STR_LAND,TOTAL_CLINCH_STR_ATT,TOTAL_CLINCH_STR_ACC,TOTAL_GROUND_STR_LAND,TOTAL_GROUND_STR_ATT,TOTAL_GROUND_STR_ACC,Referee,year,location,Fight_type,Winner
Sergio Pettis,Tyson Nam,0,136,423,0.321513002,0,0,#DIV/0!,0,104,373,0.278820375,12,28,0.428571429,20,22,0.909090909,128,409,0.312958435,7,13,0.538461538,1,1,1,Herb Dean,2019,"Mexico City, Distrito Federal, Mexico",Flyweight Bout,Sergio Pettis
Donald Cerrone,Justin Gaethje,1,57,113,0.504424779,0,0,#DIV/0!,0,39,89,0.438202247,4,8,0.5,14,16,0.875,53,107,0.495327103,2,3,0.666666667,2,3,0.666666667,Jerin Valel,2019,"Vancouver, British Columbia, Canada",Lightweight Bout,Justin Gaethje
Misha Cirkunov,Jimmy Crute,0,27,45,0.6,1,2,0.5,1,23,41,0.56097561,4,4,1,0,0,#DIV/0!,3,6,0.5,6,8,0.75,18,31,0.580645161,Yves Lavigne,2019,"Vancouver, British Columbia, Canada",Light Heavyweight Bout,Misha Cirkunov
Cole Smith,Miles Johns,0,42,122,0.344262295,2,8,0.25,0,33,104,0.317307692,9,18,0.5,0,0,#DIV/0!,29,106,0.273584906,9,11,0.818181818,4,5,0.8,Jerin Valel,2019,"Vancouver, British Columbia, Canada",Bantamweight Bout,Miles Johns
Marcin Tybura,Augusto Sakai,1,21,34,0.617647059,0,0,#DIV/0!,0,14,27,0.518518519,3,3,1,4,4,1,12,25,0.48,7,7,1,2,2,1,Jason Herzog,2019,"Vancouver, British Columbia, Canada",Heavyweight Bout,Augusto Sakai
Uriah Hall,Antonio Carlos Junior,1,56,148,0.378378378,3,8,0.375,0,47,138,0.34057971,8,9,0.888888889,1,1,1,40,126,0.317460317,3,3,1,13,19,0.684210526,Jerin Valel,2019,"Vancouver, British Columbia, Canada",Middleweight Bout,Uriah Hall
Glover Teixeira,Nikita Krylov,0,90,166,0.542168675,3,10,0.3,3,59,133,0.443609023,21,23,0.913043478,10,10,1,59,130,0.453846154,13,13,1,18,23,0.782608696,Yves Lavigne,2019,"Vancouver, British Columbia, Canada",Light Heavyweight Bout,Glover Teixeira
Todd Duffee,Jeff Hughes,1,46,95,0.484210526,1,3,0.333333333,0,37,84,0.44047619,5,6,0.833333333,4,5,0.8,33,74,0.445945946,11,18,0.611111111,2,3,0.666666667,Kevin Dornan,2019,"Vancouver, British Columbia, Canada",Heavyweight Bout,
Michel Pereira,Tristan Connelly,0,96,200,0.48,2,11,0.181818182,1,64,150,0.426666667,24,42,0.571428571,8,8,1,46,137,0.335766423,23,29,0.793103448,27,34,0.794117647,Jason Herzog,2019,"Vancouver, British Columbia, Canada",Welterweight Bout,Tristan Connelly
Louis Smolka,Ryan MacDonald,1,89,195,0.456410256,0,0,#DIV/0!,0,47,126,0.373015873,37,63,0.587301587,5,6,0.833333333,87,191,0.455497382,2,4,0.5,0,0,#DIV/0!,John Cooper,2019,"Vancouver, British Columbia, Canada",Bantamweight Bout,Louis Smolka
Kyle Prepolec,Austin Hubbard,0,95,234,0.405982906,3,6,0.5,0,43,156,0.275641026,23,45,0.511111111,29,33,0.878787879,83,220,0.377272727,2,2,1,10,12,0.833333333,Kevin Dornan,2019,"Vancouver, British Columbia, Canada",Lightweight Bout,Austin Hubbard
Chas Skelly,Jordan Griffin,0,58,146,0.397260274,2,4,0.5,5,56,136,0.411764706,2,10,0.2,0,0,#DIV/0!,52,139,0.374100719,0,0,#DIV/0!,6,7,0.857142857,Yves Lavigne,2019,"Vancouver, British Columbia, Canada",Featherweight Bout,Chas Skelly
Brad Katona,Hunter Azure,0,62,178,0.348314607,3,13,0.230769231,0,43,142,0.302816901,13,27,0.481481481,6,9,0.666666667,50,159,0.314465409,10,14,0.714285714,2,5,0.4,John Cooper,2019,"Vancouver, British Columbia, Canada",Bantamweight Bout,Hunter Azure
Zubaira Tukhugov,Lerone Murphy,1,50,136,0.367647059,6,8,0.75,2,32,108,0.296296296,15,25,0.6,3,3,1,33,110,0.3,9,13,0.692307692,8,13,0.615384615,Herb Dean,2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Featherweight Bout,
Curtis Blaydes,Shamil Abdurakhimov,0,28,51,0.549019608,5,5,1,0,26,48,0.541666667,1,2,0.5,1,1,1,5,18,0.277777778,0,0,#DIV/0!,23,33,0.696969697,Marc Goddard,2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Heavyweight Bout,Curtis Blaydes
Liana Jojua,Sarah Moras,0,63,133,0.473684211,2,3,0.666666667,1,47,116,0.405172414,12,13,0.923076923,4,4,1,32,92,0.347826087,2,3,0.666666667,29,38,0.763157895,Marc Goddard,2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Women's Bantamweight Bout,Sarah Moras
Islam Makhachev,Davi Ramos,1,50,153,0.326797386,0,2,0,0,37,124,0.298387097,8,24,0.333333333,5,5,1,34,130,0.261538462,5,5,1,11,18,0.611111111,Peter Hickmott,2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Lightweight Bout,Islam Makhachev
Khabib Nurmagomedov,Dustin Poirier,0,34,80,0.425,7,8,0.875,3,21,61,0.344262295,5,10,0.5,8,9,0.888888889,22,65,0.338461538,1,2,0.5,11,13,0.846153846,Marc Goddard,2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",UFC Lightweight Title Bout,Khabib Nurmagomedov
Edson Barboza,Paul Felder,0,116,268,0.432835821,1,5,0.2,0,68,211,0.322274882,28,34,0.823529412,20,23,0.869565217,106,256,0.4140625,1,1,1,9,11,0.818181818,Herb Dean,2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Lightweight Bout,Paul Felder
Joanne Calderwood,Andrea Lee,0,162,367,0.441416894,5,9,0.555555556,0,53,211,0.251184834,42,77,0.545454545,67,79,0.848101266,151,354,0.426553672,9,11,0.818181818,2,2,1,Vjacheslav Kiselev,2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Women's Flyweight Bout,Joanne Calderwood
Mairbek Taisumov,Diego Ferreira,0,160,486,0.329218107,0,4,0,0,117,410,0.285365854,30,59,0.508474576,13,17,0.764705882,158,483,0.327122153,2,3,0.666666667,0,0,#DIV/0!,Herb Dean,2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Lightweight Bout,Diego Ferreira
Ottman Azaitar,Teemu Packalen,1,35,72,0.486111111,0,1,0,0,25,56,0.446428571,7,12,0.583333333,3,4,0.75,21,53,0.396226415,13,17,0.764705882,1,2,0.5,Peter Hickmott,2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Lightweight Bout,Ottman Azaitar
Omari Akhmedov,Zak Cummings,0,43,146,0.294520548,2,3,0.666666667,0,20,111,0.18018018,7,17,0.411764706,16,18,0.888888889,38,136,0.279411765,0,2,0,5,8,0.625,,2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Middleweight Bout,Omari Akhmedov
Belal Muhammad,Takashi Sato,0,78,195,0.4,3,11,0.272727273,1,63,164,0.384146341,11,27,0.407407407,4,4,1,71,187,0.379679144,3,4,0.75,4,4,1,Vjacheslav Kiselev,2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Welterweight Bout,Belal Muhammad
Don Madge,Fares Ziam,0,31,80,0.3875,3,16,0.1875,0,17,62,0.274193548,7,9,0.777777778,7,9,0.777777778,16,52,0.307692308,5,12,0.416666667,10,16,0.625,Peter Hickmott,2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Lightweight Bout,Don Madge
Nordine Taleb,Muslim Salikhov,1,16,49,0.326530612,0,0,#DIV/0!,0,4,26,0.153846154,2,11,0.181818182,10,12,0.833333333,16,48,0.333333333,0,0,#DIV/0!,0,1,0,Herb Dean,2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Welterweight Bout,Muslim Salikhov
Da-Un Jung,Khadis Ibragimov,0,169,357,0.473389356,1,7,0.142857143,1,152,337,0.451038576,16,19,0.842105263,1,1,1,139,314,0.442675159,30,43,0.697674419,0,0,#DIV/0!,Leon Roberts,2019,"Shenzhen, Guangdong, China",Light Heavyweight Bout,Da-Un Jung
Kai Kara-France,Mark De La Rosa,1,151,388,0.389175258,2,8,0.25,0,109,320,0.340625,13,29,0.448275862,29,39,0.743589744,143,375,0.381333333,4,6,0.666666667,4,7,0.571428571,Steve Perceval,2019,"Shenzhen, Guangdong, China",Flyweight Bout,Kai Kara-France
Li Jingliang,Elizeu Zaleski dos Santos,3,113,288,0.392361111,2,4,0.5,0,68,222,0.306306306,25,39,0.641025641,20,27,0.740740741,98,269,0.364312268,11,15,0.733333333,4,4,1,John Sharp,2019,"Shenzhen, Guangdong, China",Welterweight Bout,Li Jingliang
Su Mudaerji,Andre Soukhamthath,0,116,229,0.506550218,1,4,0.25,0,85,182,0.467032967,14,26,0.538461538,17,21,0.80952381,84,175,0.48,5,7,0.714285714,27,47,0.574468085,Thomas Fan,2019,"Shenzhen, Guangdong, China",Bantamweight Bout,Su Mudaerji
Wu Yanan,Inoue Mizuki,0,216,474,0.455696203,0,8,0,0,151,393,0.384223919,48,60,0.8,17,21,0.80952381,169,417,0.405275779,47,57,0.824561404,0,0,#DIV/0!,Thomas Fan,2019,"Shenzhen, Guangdong, China",Women's Flyweight Bout,Inoue Mizuki
Jessica Andrade,Zhang Weili,1,33,50,0.66,0,0,#DIV/0!,0,18,34,0.529411765,8,9,0.888888889,7,7,1,18,34,0.529411765,14,14,1,1,2,0.5,Leon Roberts,2019,"Shenzhen, Guangdong, China",UFC Women's Strawweight Title Bout,Zhang Weili
Song Kenan,Derrick Krantz,0,91,213,0.427230047,3,6,0.5,1,67,172,0.389534884,12,26,0.461538462,12,15,0.8,84,200,0.42,5,10,0.5,2,3,0.666666667,John Sharp,2019,"Shenzhen, Guangdong, China",Welterweight Bout,Song Kenan
Junyong Park,Anthony Hernandez,0,140,258,0.542635659,6,9,0.666666667,1,127,244,0.520491803,12,13,0.923076923,1,1,1,122,233,0.52360515,11,18,0.611111111,7,7,1,Steve Perceval,2019,"Shenzhen, Guangdong, China",Middleweight Bout,Anthony Hernandez
Damir Ismagulov,Thiago Moises,1,107,302,0.354304636,0,8,0,0,44,220,0.2,28,44,0.636363636,35,38,0.921052632,90,278,0.323741007,6,7,0.857142857,11,17,0.647058824,John Sharp,2019,"Shenzhen, Guangdong, China",Lightweight Bout,Damir Ismagulov
Karol Rosa,Lara Procopio,1,336,641,0.524180967,0,5,0,0,230,510,0.450980392,24,31,0.774193548,82,100,0.82,317,614,0.516286645,14,20,0.7,5,7,0.714285714,Thomas Fan,2019,"Shenzhen, Guangdong, China",Women's Bantamweight Bout,Karol Rosa
Heili Alateng,Batgerel Danaa,0,121,319,0.379310345,3,8,0.375,0,109,290,0.375862069,7,18,0.388888889,5,11,0.454545455,101,288,0.350694444,5,11,0.454545455,15,20,0.75,Steve Perceval,2019,"Shenzhen, Guangdong, China",Bantamweight Bout,Heili Alateng
Devonte Smith,Khama Worthy,1,36,78,0.461538462,0,0,#DIV/0!,0,12,43,0.279069767,4,8,0.5,20,27,0.740740741,33,73,0.452054795,0,0,#DIV/0!,3,5,0.6,Jason Herzog,2019,"Anaheim, California, USA",Lightweight Bout,Khama Worthy
Anthony Pettis,Nate Diaz,1,183,334,0.547904192,1,1,1,1,148,283,0.522968198,26,35,0.742857143,9,16,0.5625,97,211,0.45971564,63,90,0.7,23,33,0.696969697,Mike Beltran,2019,"Anaheim, California, USA",Welterweight Bout,Nate Diaz
Christos Giagos,Drakkar Klose,0,186,315,0.59047619,4,12,0.333333333,1,111,231,0.480519481,58,63,0.920634921,17,21,0.80952381,108,220,0.490909091,54,63,0.857142857,24,32,0.75,George Allen,2019,"Anaheim, California, USA",Lightweight Bout,Drakkar Klose
Yoel Romero,Paulo Costa,2,243,497,0.488933602,1,4,0.25,0,163,392,0.415816327,57,78,0.730769231,23,27,0.851851852,228,478,0.476987448,12,13,0.923076923,3,6,0.5,Jason Herzog,2019,"Anaheim, California, USA",Middleweight Bout,Paulo Costa
Raphael Assuncao,Cory Sandhagen,0,107,197,0.543147208,4,7,0.571428571,0,38,117,0.324786325,36,41,0.87804878,33,39,0.846153846,85,173,0.49132948,15,17,0.882352941,7,7,1,Frank Trigg,2019,"Anaheim, California, USA",Bantamweight Bout,Cory Sandhagen
Gabriel Benitez,Sodiq Yusuff,1,58,151,0.38410596,0,0,#DIV/0!,0,36,125,0.288,8,12,0.666666667,14,14,1,54,143,0.377622378,0,1,0,4,7,0.571428571,Herb Dean,2019,"Anaheim, California, USA",Featherweight Bout,Sodiq Yusuff
Derek Brunson,Ian Heinisch,0,139,328,0.423780488,2,18,0.111111111,0,88,256,0.34375,42,60,0.7,9,12,0.75,118,300,0.393333333,15,21,0.714285714,6,7,0.857142857,Mike Beltran,2019,"Anaheim, California, USA",Middleweight Bout,Derek Brunson
Daniel Cormier,Stipe Miocic,1,304,492,0.617886179,2,6,0.333333333,0,248,431,0.575406032,36,39,0.923076923,20,22,0.909090909,241,404,0.596534653,40,55,0.727272727,23,33,0.696969697,Herb Dean,2019,"Anaheim, California, USA",UFC Heavyweight Title Bout,Stipe Miocic
Kyung Ho Kang,Brandon Davis,1,127,288,0.440972222,4,7,0.571428571,0,78,222,0.351351351,18,21,0.857142857,31,45,0.688888889,104,252,0.412698413,4,6,0.666666667,19,30,0.633333333,George Allen,2019,"Anaheim, California, USA",Bantamweight Bout,Kyung Ho Kang
Hannah Cifers,Jodie Esquibel,0,113,294,0.384353741,4,9,0.444444444,1,68,233,0.291845494,26,36,0.722222222,19,25,0.76,97,261,0.37164751,12,27,0.444444444,4,6,0.666666667,Jason Herzog,2019,"Anaheim, California, USA",Women's Strawweight Bout,Hannah Cifers
Manny Bermudez,Casey Kenney,0,80,128,0.625,5,6,0.833333333,1,50,89,0.561797753,18,26,0.692307692,12,13,0.923076923,48,92,0.52173913,8,9,0.888888889,24,27,0.888888889,Frank Trigg,2019,"Anaheim, California, USA",Catch Weight Bout,Casey Kenney
Sabina Mazo,Shana Dobson,0,141,270,0.522222222,4,4,1,0,68,173,0.393063584,61,78,0.782051282,12,19,0.631578947,58,156,0.371794872,53,78,0.679487179,30,36,0.833333333,Frank Trigg,2019,"Anaheim, California, USA",Women's Flyweight Bout,Sabina Mazo
Eduardo Garagorri,Humberto Bandenay,0,97,186,0.521505376,5,11,0.454545455,0,69,146,0.47260274,20,30,0.666666667,8,10,0.8,77,164,0.469512195,14,16,0.875,6,6,1,Osiris Maia,2019,"Montevideo, Uruguay",Featherweight Bout,Eduardo Garagorri
Vicente Luque,Mike Perry,0,171,354,0.483050847,0,2,0,1,99,260,0.380769231,17,26,0.653846154,55,68,0.808823529,158,335,0.471641791,13,19,0.684210526,0,0,#DIV/0!,Eduardo Herdy,2019,"Montevideo, Uruguay",Welterweight Bout,Vicente Luque
Gilbert Burns,Aleksei Kunchenko,0,89,185,0.481081081,3,8,0.375,0,42,117,0.358974359,15,32,0.46875,32,36,0.888888889,64,151,0.42384106,12,14,0.857142857,13,20,0.65,Keith Peterson,2019,"Montevideo, Uruguay",Welterweight Bout,Gilbert Burns
Volkan Oezdemir,Ilir Latifi,2,82,197,0.416243655,1,5,0.2,0,60,168,0.357142857,13,20,0.65,9,9,1,64,166,0.385542169,13,24,0.541666667,5,7,0.714285714,Keith Peterson,2019,"Montevideo, Uruguay",Light Heavyweight Bout,Volkan Oezdemir
Ciryl Gane,Raphael Pessoa,0,22,63,0.349206349,0,3,0,1,12,49,0.244897959,6,8,0.75,4,6,0.666666667,20,56,0.357142857,2,5,0.4,0,2,0,Eduardo Herdy,2019,"Montevideo, Uruguay",Heavyweight Bout,Ciryl Gane
Enrique Barzola,Bobby Moffett,0,173,475,0.364210526,3,8,0.375,0,107,387,0.276485788,45,64,0.703125,21,24,0.875,170,466,0.364806867,3,9,0.333333333,0,0,#DIV/0!,Fernando Portella,2019,"Montevideo, Uruguay",Featherweight Bout,Enrique Barzola
Rodolfo Vieira,Oskar Piechota,0,40,82,0.487804878,3,7,0.428571429,1,35,72,0.486111111,4,9,0.444444444,1,1,1,13,43,0.302325581,13,15,0.866666667,14,24,0.583333333,Osiris Maia,2019,"Montevideo, Uruguay",Middleweight Bout,Rodolfo Vieira
Valentina Shevchenko,Liz Carmouche,0,60,191,0.314136126,1,5,0.2,0,17,113,0.150442478,8,19,0.421052632,35,59,0.593220339,55,181,0.303867403,2,2,1,3,8,0.375,Keith Peterson,2019,"Montevideo, Uruguay",UFC Women's Flyweight Title Bout,Valentina Shevchenko
Tecia Torres,Marina Rodriguez,0,125,275,0.454545455,1,11,0.090909091,1,48,161,0.298136646,53,77,0.688311688,24,37,0.648648649,73,212,0.344339623,51,62,0.822580645,1,1,1,Fernando Portella,2019,"Montevideo, Uruguay",Women's Strawweight Bout,Marina Rodriguez
Rogerio Bontorin,Raulian Paiva,0,11,30,0.366666667,2,5,0.4,0,9,27,0.333333333,0,1,0,2,2,1,10,29,0.344827586,1,1,1,0,0,#DIV/0!,Osiris Maia,2019,"Montevideo, Uruguay",Flyweight Bout,Rogerio Bontorin
Geraldo de Freitas,Chris Gutierrez,0,88,198,0.444444444,3,9,0.333333333,0,44,141,0.312056738,16,19,0.842105263,28,38,0.736842105,78,185,0.421621622,4,4,1,6,9,0.666666667,Eduardo Herdy,2019,"Montevideo, Uruguay",Bantamweight Bout,Chris Gutierrez
Veronica Macedo,Polyana Viana,0,2,4,0.5,1,1,1,1,0,1,0,2,3,0.666666667,0,0,#DIV/0!,2,4,0.5,0,0,#DIV/0!,0,0,#DIV/0!,Keith Peterson,2019,"Montevideo, Uruguay",Women's Flyweight Bout,Veronica Macedo
Kazula Vargas,Alex Da Silva,0,37,81,0.456790123,3,5,0.6,0,30,72,0.416666667,3,5,0.6,4,4,1,20,62,0.322580645,1,1,1,16,18,0.888888889,Fernando Portella,2019,"Montevideo, Uruguay",Lightweight Bout,Alex Da Silva
Joaquim Silva,Nasrat Haqparast,1,36,94,0.382978723,0,0,#DIV/0!,0,18,68,0.264705882,8,15,0.533333333,10,11,0.909090909,27,85,0.317647059,0,0,#DIV/0!,9,9,1,Keith Peterson,2019,"Newark, New Jersey, USA",Lightweight Bout,Nasrat Haqparast
Scott Holtzman,Dong Hyun Ma,1,60,150,0.4,2,5,0.4,0,50,131,0.381679389,4,4,1,6,15,0.4,48,129,0.372093023,6,6,1,6,15,0.4,Gasper Oliver,2019,"Newark, New Jersey, USA",Lightweight Bout,Scott Holtzman
Darko Stosic,Kennedy Nzechukwu,0,110,257,0.428015564,4,10,0.4,0,59,182,0.324175824,17,27,0.62962963,34,48,0.708333333,95,231,0.411255411,10,20,0.5,5,6,0.833333333,Gary Copeland,2019,"Newark, New Jersey, USA",Light Heavyweight Bout,Kennedy Nzechukwu
Antonina Shevchenko,Lucie Pudilova,0,22,39,0.564102564,1,5,0.2,3,6,18,0.333333333,12,17,0.705882353,4,4,1,1,11,0.090909091,20,27,0.740740741,1,1,1,Liam Kerrigan,2019,"Newark, New Jersey, USA",Women's Flyweight Bout,Antonina Shevchenko
Colby Covington,Robbie Lawler,0,257,682,0.376832845,1,#VALUE!,#VALUE!,0,189,598,0.316053512,30,44,0.681818182,38,40,0.95,220,629,0.349761526,37,53,0.698113208,0,0,#DIV/0!,Keith Peterson,2019,"Newark, New Jersey, USA",Welterweight Bout,Colby Covington
Jim Miller,Clay Guida,0,4,13,0.307692308,0,0,#DIV/0!,1,2,11,0.181818182,0,0,#DIV/0!,2,2,1,4,13,0.307692308,0,0,#DIV/0!,0,0,#DIV/0!,Herb Dean,2019,"Newark, New Jersey, USA",Lightweight Bout,Jim Miller
Trevin Giles,Gerald Meerschaert,0,14,34,0.411764706,2,4,0.5,1,11,29,0.379310345,2,4,0.5,1,1,1,6,22,0.272727273,1,1,1,7,11,0.636363636,Herb Dean,2019,"Newark, New Jersey, USA",Middleweight Bout,Gerald Meerschaert
Miranda Granger,Hannah Goldy,0,116,309,0.375404531,0,0,#DIV/0!,0,51,193,0.264248705,28,46,0.608695652,37,70,0.528571429,90,262,0.34351145,26,47,0.553191489,0,0,#DIV/0!,Herb Dean,2019,"Newark, New Jersey, USA",Women's Flyweight Bout,Miranda Granger
Jordan Espinosa,Matt Schnell,0,8,18,0.444444444,0,1,0,1,4,14,0.285714286,0,0,#DIV/0!,4,4,1,8,18,0.444444444,0,0,#DIV/0!,0,0,#DIV/0!,Gasper Oliver,2019,"Newark, New Jersey, USA",Flyweight Bout,Matt Schnell
Lauren Murphy,Mara Romero Borella,1,46,195,0.235897436,1,4,0.25,0,36,179,0.201117318,3,5,0.6,7,11,0.636363636,39,184,0.211956522,3,6,0.5,4,5,0.8,Liam Kerrigan,2019,"Newark, New Jersey, USA",Women's Flyweight Bout,Lauren Murphy
Claudio Silva,Cole Williams,0,34,43,0.790697674,1,1,1,1,27,34,0.794117647,5,7,0.714285714,2,2,1,10,18,0.555555556,1,1,1,23,24,0.958333333,Gary Copeland,2019,"Newark, New Jersey, USA",Welterweight Bout,Claudio Silva
Mickey Gall,Salim Touahri,0,98,213,0.460093897,1,10,0.1,0,64,167,0.383233533,23,33,0.696969697,11,13,0.846153846,56,150,0.373333333,27,41,0.658536585,15,22,0.681818182,Gary Copeland,2019,"Newark, New Jersey, USA",Welterweight Bout,Mickey Gall
Gavin Tucker,SeungWoo Choi,0,60,158,0.379746835,7,15,0.466666667,2,32,114,0.280701754,19,32,0.59375,9,12,0.75,37,125,0.296,15,23,0.652173913,8,10,0.8,Marc Goddard,2019,"Edmonton, Alberta, Canada",Featherweight Bout,Gavin Tucker
Geoff Neal,Niko Price,1,65,118,0.550847458,2,6,0.333333333,0,56,101,0.554455446,7,15,0.466666667,2,2,1,22,57,0.385964912,12,16,0.75,31,45,0.688888889,Dan Miragliotta,2019,"Edmonton, Alberta, Canada",Welterweight Bout,Geoff Neal
Hakeem Dawodu,Yoshinori Horie,1,119,233,0.510729614,0,1,0,0,66,157,0.420382166,34,52,0.653846154,19,24,0.791666667,73,167,0.437125749,46,66,0.696969697,0,0,#DIV/0!,Kyle Cardinal,2019,"Edmonton, Alberta, Canada",Featherweight Bout,Hakeem Dawodu
Marc-Andre Barriault,Krzysztof Jotko,0,79,194,0.407216495,2,10,0.2,0,38,143,0.265734266,28,38,0.736842105,13,13,1,37,137,0.270072993,42,57,0.736842105,0,0,#DIV/0!,Herb Dean,2019,"Edmonton, Alberta, Canada",Middleweight Bout,Krzysztof Jotko
Cristiane Justino,Felicia Spencer,0,160,301,0.531561462,0,8,0,0,80,211,0.379146919,52,61,0.852459016,28,29,0.965517241,112,230,0.486956522,37,51,0.725490196,11,20,0.55,Yves Lavigne,2019,"Edmonton, Alberta, Canada",Women's Featherweight Bout,Cristiane Justino
Olivier Aubin-Mercier,Arman Tsarukyan,0,70,153,0.45751634,2,14,0.142857143,0,42,111,0.378378378,19,30,0.633333333,9,12,0.75,37,109,0.339449541,6,9,0.666666667,27,35,0.771428571,Marc Goddard,2019,"Edmonton, Alberta, Canada",Lightweight Bout,Arman Tsarukyan
Alexis Davis,Viviane Araujo,0,135,285,0.473684211,2,6,0.333333333,0,85,216,0.393518519,32,50,0.64,18,19,0.947368421,117,255,0.458823529,8,17,0.470588235,10,13,0.769230769,Yves Lavigne,2019,"Edmonton, Alberta, Canada",Women's Flyweight Bout,Viviane Araujo
Max Holloway,Frankie Edgar,0,225,592,0.380067568,1,15,0.066666667,0,166,490,0.33877551,41,81,0.50617284,18,21,0.857142857,213,571,0.373029772,10,18,0.555555556,2,3,0.666666667,Herb Dean,2019,"Edmonton, Alberta, Canada",UFC Featherweight Title Bout,Max Holloway
Alexandre Pantoja,Deiveson Figueiredo,1,128,264,0.484848485,4,13,0.307692308,0,94,220,0.427272727,21,27,0.777777778,13,17,0.764705882,94,209,0.449760766,24,38,0.631578947,10,17,0.588235294,Dan Miragliotta,2019,"Edmonton, Alberta, Canada",Flyweight Bout,Deiveson Figueiredo
Gillian Robertson,Sarah Frota,0,38,62,0.612903226,2,3,0.666666667,0,32,56,0.571428571,3,3,1,3,3,1,10,19,0.526315789,0,0,#DIV/0!,28,43,0.651162791,Kyle Cardinal,2019,"Edmonton, Alberta, Canada",Women's Flyweight Bout,Gillian Robertson
Erik Koch,Kyle Stewart,0,60,127,0.472440945,4,19,0.210526316,0,43,98,0.43877551,10,19,0.526315789,7,10,0.7,35,94,0.372340426,9,14,0.642857143,16,19,0.842105263,Marc Goddard,2019,"Edmonton, Alberta, Canada",Welterweight Bout,Erik Koch
Raquel Pennington,Irene Aldana,0,99,321,0.308411215,1,6,0.166666667,0,61,247,0.246963563,19,47,0.404255319,19,27,0.703703704,87,307,0.283387622,8,10,0.8,4,4,1,Frank Collazo,2019,"San Antonio, Texas, USA",Women's Bantamweight Bout,Raquel Pennington
Rafael Dos Anjos,Leon Edwards,0,173,384,0.450520833,3,15,0.2,0,113,304,0.371710526,31,45,0.688888889,29,35,0.828571429,158,363,0.435261708,12,15,0.8,3,6,0.5,Dan Miragliotta,2019,"San Antonio, Texas, USA",Welterweight Bout,Leon Edwards
Alex Caceres,Steven Peterson,0,161,415,0.387951807,2,2,1,0,104,325,0.32,40,71,0.563380282,17,19,0.894736842,156,408,0.382352941,3,3,1,2,4,0.5,Dan Miragliotta,2019,"San Antonio, Texas, USA",Featherweight Bout,Alex Caceres
Alexander Hernandez,Francisco Trinaldo,0,50,143,0.34965035,0,1,0,0,22,86,0.255813953,24,51,0.470588235,4,6,0.666666667,49,141,0.34751773,1,1,1,0,1,0,Frank Collazo,2019,"San Antonio, Texas, USA",Lightweight Bout,Alexander Hernandez
James Vick,Dan Hooker,1,29,64,0.453125,0,0,#DIV/0!,0,15,40,0.375,0,4,0,14,20,0.7,26,61,0.426229508,0,0,#DIV/0!,3,3,1,Kerry Hatley,2019,"San Antonio, Texas, USA",Lightweight Bout,Dan Hooker
Aleksei Oleinik,Walt Harris,1,5,10,0.5,0,0,#DIV/0!,0,2,6,0.333333333,3,3,1,0,1,0,3,8,0.375,0,0,#DIV/0!,2,2,1,Jacob Montalvo,2019,"San Antonio, Texas, USA",Heavyweight Bout,Walt Harris
Andrei Arlovski,Ben Rothwell,0,222,440,0.504545455,0,1,0,0,158,359,0.440111421,43,59,0.728813559,21,22,0.954545455,222,439,0.505694761,0,1,0,0,0,#DIV/0!,Kerry Hatley,2019,"San Antonio, Texas, USA",Heavyweight Bout,Andrei Arlovski
Greg Hardy,Juan Adams,0,39,45,0.866666667,0,1,0,0,38,43,0.88372093,1,2,0.5,0,0,#DIV/0!,8,14,0.571428571,0,0,#DIV/0!,31,31,1,Dan Miragliotta,2019,"San Antonio, Texas, USA",Heavyweight Bout,Greg Hardy
Roxanne Modafferi,Jennifer Maia,0,112,284,0.394366197,0,9,0,0,97,258,0.375968992,10,19,0.526315789,5,7,0.714285714,93,259,0.359073359,18,21,0.857142857,1,4,0.25,Jacob Montalvo,2019,"San Antonio, Texas, USA",Women's Flyweight Bout,Jennifer Maia
