R_fighter,B_fighter,TOTAL_KD,TOTAL_SIG_STR_LAND,TOTAL_SIG_STR_ATT,TOTAL_SIG_STR_ACC,TOTAL_TD_LAND,TOTAL_TD_ATT,TOTAL_TD_ACC,TOTAL_SUB_ATT,TOTAL_HEAD_STR_LAND,TOTAL_HEAD_STR_ATT,TOTAL_HEAD_STR_ACC,TOTAL_BODY_STR_LAND,TOTAL_BODY_STR_ATT,TOTAL_BODY_STR_ACC,TOTAL_LEG_STR_LAND,TOTAL_LEG_STR_ATT,TOTAL_LEG_STR_ACC,TOTAL_DISTANCE_STR_LAND,TOTAL_DISTANCE_STR_ATT,TOTAL_DISTANCE_STR_ACC,TOTAL_CLINCH_STR_LAND,TOTAL_CLINCH_STR_ATT,TOTAL_CLINCH_STR_ACC,TOTAL_GROUND_STR_LAND,TOTAL_GROUND_STR_ATT,TOTAL_GROUND_STR_ACC,Referee,year,location,Fight_type,Winner
Deiveson Figueiredo,Alex Perez,0,11,22,0.5,0,2,0,1,5,13,0.384615385,5,8,0.625,1,1,1,10,21,0.476190476,0,0,#DIV/0!,1,1,1,Marc Goddard,2020,"Las Vegas, Nevada, USA",UFC Flyweight Title Bout,Deiveson Figueiredo
Mauricio Rua,Paul Craig,0,39,85,0.458823529,4,8,0.5,0,23,60,0.383333333,6,13,0.461538462,10,12,0.833333333,25,61,0.409836066,4,11,0.363636364,10,13,0.769230769,Herb Dean,2020,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Paul Craig
Mike Perry,Tim Means,0,192,353,0.543909348,1,6,0.166666667,2,130,281,0.462633452,34,40,0.85,28,32,0.875,183,341,0.536656891,8,11,0.727272727,1,1,1,Marc Goddard,2020,"Las Vegas, Nevada, USA",Welterweight Bout,Tim Means
Alan Jouban,Jared Gooden,0,268,541,0.495378928,1,2,0.5,2,195,444,0.439189189,60,82,0.731707317,13,15,0.866666667,240,500,0.48,28,40,0.7,0,1,0,Chris Tognoni,2020,"Las Vegas, Nevada, USA",Welterweight Bout,Alan Jouban
Daniel Rodriguez,Nicolas Dalby,0,133,346,0.384393064,0,9,0,0,68,242,0.280991736,26,55,0.472727273,39,49,0.795918367,131,343,0.381924198,2,3,0.666666667,0,0,#DIV/0!,Mark Smith,2020,"Las Vegas, Nevada, USA",Welterweight Bout,Nicolas Dalby
Louis Cosce,Sasha Palatnikov,1,224,443,0.505643341,2,10,0.2,0,176,374,0.470588235,36,55,0.654545455,12,14,0.857142857,140,330,0.424242424,41,55,0.745454545,43,58,0.74137931,Chris Tognoni,2020,"Las Vegas, Nevada, USA",Welterweight Bout,Sasha Palatnikov
Kyle Daukaus,Dustin Stoltzfus,0,96,185,0.518918919,2,14,0.142857143,1,70,152,0.460526316,15,20,0.75,11,13,0.846153846,56,132,0.424242424,27,32,0.84375,13,21,0.619047619,Mark Smith,2020,"Las Vegas, Nevada, USA",Middleweight Bout,Kyle Daukaus
Ashley Yoder,Miranda Granger,0,59,93,0.634408602,2,4,0.5,3,33,65,0.507692308,14,15,0.933333333,12,13,0.923076923,27,57,0.473684211,17,18,0.944444444,15,18,0.833333333,Jason Herzog,2020,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Ashley Yoder
Kay Hansen,Cory McKenna,0,124,247,0.502024291,2,6,0.333333333,2,103,225,0.457777778,15,15,1,6,7,0.857142857,103,222,0.463963964,16,20,0.8,5,5,1,Jason Herzog,2020,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Cory McKenna
Randa Markos,Kanako Murata,0,58,104,0.557692308,4,9,0.444444444,2,36,72,0.5,15,19,0.789473684,7,13,0.538461538,30,72,0.416666667,10,13,0.769230769,18,19,0.947368421,Mark Smith,2020,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Kanako Murata
